ActualFlightTime,ActualTotalFuel,FLownPassengers,BagsCount,FlightBagsWeight
91,3660,175,61,440
68,3280,182,27,350
64,2720,127,38,490
35,1682,163,12,150
34,1877,178,37,490
35,1780,171,18,230
114,5150,178,69,900
69,2940,161,38,490
89,3869,143,31,400
162,6920,162,45,590
140,5780,174,36,470
80,3397,149,43,540
102,4749,174,120,1559
53,2320,173,55,700
54,2667,183,59,770
149,6800,183,109,1420
150,6530,177,116,940
92,4150,183,95,1230
84,3696,173,38,490
120,5040,171,77,1000
244,10517,174,75,970
138,6220,184,134,1740
119,4998,183,72,930
122,5730,183,116,1510
124,5440,161,46,600
54,2680,169,75,975
108,4450,175,18,230
103,4680,182,43,560
76,3490,158,41,530
173,7910,170,44,580
108,5010,177,46,600
129,5477,179,31,410
102,4800,176,32,420
117,4580,162,53,690
108,4970,173,78,1010
117,5397,185,38,490
175,7250,163,113,1470
245,10916,183,107,1399
177,7344,174,100,1300
109,4920,180,38,490
125,5000,173,24,310
118,4790,176,68,850
101,4390,183,43,490
132,5600,178,29,437
151,6616,176,46,690
130,5580,176,50,650
172,7043,177,38,490
151,6381,161,36,470
84,3200,152,5,70
32,1460,151,38,490
68,2980,168,68,884
237,10594,185,138,1919
109,4940,178,84,1090
79,3380,170,49,640
239,10210,163,85,1110
112,5190,174,86,1170
181,8040,177,87,1130
112,5040,157,42,550
165,7140,171,75,980
95,4000,171,19,250
140,6113,175,48,620
151,6700,179,76,990
151,6839,186,117,1620
156,6690,175,51,670
98,3960,160,74,969
80,3720,171,18,240
89,3746,163,32,420
240,10730,183,109,1420
146,6130,177,35,460
149,6770,179,136,1770
130,5460,175,78,1010
65,3180,175,119,1549
85,3620,180,27,360
68,3020,184,10,130
70,2830,78,15,200
72,3380,170,39,510
132,5340,167,40,520
52,2630,180,27,360
59,2800,182,37,480
75,3100,147,45,390
95,3900,158,55,720
74,3200,182,38,500
51,2300,172,6,80
42,2327,179,62,800
80,3440,180,30,390
132,5720,170,51,750
166,7250,177,73,950
85,3610,177,19,250
79,3350,168,43,560
103,4660,174,86,1120
106,4844,178,115,1499
154,6550,147,59,770
256,10980,172,108,1400
55,2420,180,24,310
53,2313,181,35,460
72,3392,144,72,940
50,2430,177,53,690
42,2130,171,29,380
202,8971,187,120,1560
150,6889,184,100,1299
35,1621,111,19,240
157,7165,180,117,1530
112,4712,172,56,730
126,5540,178,37,480
78,3490,164,20,260
267,11710,177,93,1210
258,11090,168,89,1160
80,3700,173,74,480
83,3598,166,45,590
100,4077,161,31,410
160,6500,176,58,750
76,3370,169,24,310
77,3190,176,11,140
158,6620,161,47,610
59,2630,157,14,180
101,4280,175,87,1130
146,6180,161,72,690
79,3640,167,17,220
103,4640,176,56,730
179,8158,179,84,1090
261,11480,186,128,1660
87,3730,173,52,680
84,3610,164,31,400
88,3506,184,47,620
136,5900,169,69,900
126,5380,181,104,1352
98,4032,117,37,550
187,7882,172,138,1200
97,4300,158,30,390
101,4080,173,23,307
85,3580,165,65,850
158,6853,189,96,1250
85,3530,185,28,360
155,6600,175,76,988
121,5600,187,152,1976
144,6195,187,38,490
202,8984,175,141,490
127,5651,175,71,920
84,3650,179,50,650
110,5100,139,71,923
93,3823,177,25,220
170,7400,181,109,1420
101,4372,177,27,350
115,5079,171,18,240
56,2594,169,24,310
58,2826,171,30,390
102,4644,176,38,490
100,4080,158,48,620
197,8410,159,99,1290
205,9133,181,100,1300
95,4140,161,40,520
87,3900,188,45,590
73,3400,154,66,860
85,3810,168,60,410
87,3492,169,62,809
249,10740,180,97,650
220,9878,173,90,1170
142,6300,175,83,1080
125,5270,171,62,8000
89,4210,178,20,260
65,3038,176,68,880
182,7447,138,76,990
124,5170,168,31,400
71,2980,175,34,450
62,2860,187,38,490
82,3860,184,38,490
132,5550,182,74,960
94,3770,160,16,210
93,4050,167,27,350
142,5920,174,47,620
157,6250,178,38,490
140,6372,179,78,1020
173,7130,181,121,1570
220,9920,180,86,1120
89,3920,175,30,390
80,3565,170,27,350
133,5640,171,80,1040
135,5950,176,173,2250
143,5850,181,76,990
179,7846,175,79,1030
68,3190,172,15,200
103,4500,173,44,570
145,6381,183,102,1320
156,6957,174,54,700
138,5660,181,101,1310
171,7340,184,38,490
66,2770,165,24,310
145,6680,185,123,1600
116,4910,179,101,770
93,3660,162,38,490
185,7840,174,67,870
155,6971,182,120,1560
122,5500,163,47,610
107,4580,175,47,610
119,5120,173,34,450
123,5200,158,83,1080
101,4250,171,42,550
179,7678,172,87,1130
113,4517,155,38,490
149,6560,173,123,1600
113,4980,185,110,1430
102,4330,164,59,770
51,2380,179,24,310
141,6160,186,109,1420
120,5410,173,63,820
185,7687,149,43,550
55,2150,173,38,490
209,9220,189,83,1080
37,1600,163,12,160
45,2370,163,38,490
136,5668,135,35,450
23,990,173,38,490
92,3920,158,91,1190
72,3102,130,21,280
143,6150,180,72,940
50,2476,157,38,490
39,1890,179,14,180
144,6340,180,103,1340
153,7200,184,115,1500
58,2590,169,10,130
54,2500,169,14,180
121,4950,153,41,530
112,4911,161,38,490
139,5380,167,87,490
31,1600,132,7,91
31,1700,166,19,240
101,4785,160,29,380
89,3814,163,61,450
91,3900,179,38,490
114,5360,165,83,870
